Raleigh-Durham,Wash D.C.,Jacksonville,Edmonton
65.03,55.04,64.49,29.57
50.54,46.49,65.57,35.69
61.07,47.03,68.54,40.46
69.44,60.98,73.04,41.18
62.96,51.98,70.52,37.94
67.46,50.99,68.99,36.23
59,56.03,71.96,33.8
60.98,57.02,76.46,39.38
59.54,49.55,75.02,45.41
70.97,59.99,76.46,40.73
54.95,62.51,75.02,33.62
51.44,62.51,68.45,30.65
52.52,56.03,58.46,32.36
56.93,54.95,61.52,30.47
59.45,56.48,67.55,30.47
59.99,55.58,68,40.73
50.45,53.96,67.01,48.47
